country,city,name,img,building_page-href,date_start,date_end,floors,tags,developer
United States,Chicago,Millennium Centre,../skyscraperpage.com/diagrams/images/32045.gif,http://skyscraperpage.com/cities/?buildingID=5936,2001,2004,59,Building Uses - residential: Structural Types - highrise: Architectural Style - postmodern: Materials - concrete,
United States,Chicago,Chicago Place,../skyscraperpage.com/diagrams/images/24602.gif,http://skyscraperpage.com/cities/?buildingID=5931,null,1991,49,Building Uses - residential - restaurant - retail: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel - concrete,
United States,Chicago,Chicago Board of Trade,../skyscraperpage.com/diagrams/images/38329.gif,http://skyscraperpage.com/cities/?buildingID=2335,null,1930,44,Building Uses - office: Structural Types - highrise - clock - statue: Architectural Style - art deco - streamline moderne: Materials - masonry,
United States,Chicago,CNA Plaza,../skyscraperpage.com/diagrams/images/60511.gif,http://skyscraperpage.com/cities/?buildingID=6941,null,1972,44,Building Uses - office: Structural Types - highrise: Architectural Style - international: Materials - glass - steel - concrete,
United States,Chicago,Heller International Building,../skyscraperpage.com/diagrams/images/33736.gif,http://skyscraperpage.com/cities/?buildingID=5421,1990,1992,45,Building Uses - office - retail: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel - concrete,
United States,Chicago,Madison Plaza,../skyscraperpage.com/diagrams/images/55914.gif,http://skyscraperpage.com/cities/?buildingID=3314,1981,1982,45,Building Uses - office: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel - granite - concrete: reinforced,
United States,Chicago,Central Station - One Museum Park West,../skyscraperpage.com/diagrams/images/60574.gif,http://skyscraperpage.com/cities/?buildingID=42891,2007,2010,54,Building Uses - residential - fitness center: Structural Types - highrise: Architectural Style - modern: Materials - glass,
United States,Chicago,1000 Lake Shore Plaza,../skyscraperpage.com/diagrams/images/40562.gif,http://skyscraperpage.com/cities/?buildingID=909,null,1964,55,Building Uses - residential - retail: Structural Types - highrise: Architectural Style - modern: Materials - glass - steel - concrete: reinforced,
United States,Chicago,The Clare at Water Tower,../skyscraperpage.com/diagrams/images/36712.gif,http://skyscraperpage.com/cities/?buildingID=36139,2006,2008,52,Building Uses - residential - education - university: Structural Types - highrise: Architectural Style - modern: Materials - glass - concrete,
United States,Chicago,Marina City I,../skyscraperpage.com/diagrams/images/60892.gif,http://skyscraperpage.com/cities/?buildingID=195,1960,1962,61,Building Uses - residential - parking garage: Structural Types - highrise: Architectural Style - modern: Materials - glass - concrete,
United States,Chicago,Marina City II,../skyscraperpage.com/diagrams/images/60893.gif,http://skyscraperpage.com/cities/?buildingID=196,1960,1962,61,Building Uses - residential - parking garage: Structural Types - highrise: Architectural Style - brutalist - international: Materials - concrete,
United States,Chicago,Citicorp Center,../skyscraperpage.com/diagrams/images/40381.gif,http://skyscraperpage.com/cities/?buildingID=931,1984,1987,42,Building Uses - office - restaurant - retail - station: Structural Types - highrise - atrium: Architectural Style - modern: Materials - glass,
United States,Chicago,Optima Center II,../skyscraperpage.com/diagrams/images/80663.gif,http://skyscraperpage.com/cities/?buildingID=42034,2014,null,55,Building Uses - mixed use - hotel - parking garage - residential - restaurant - retail: Structural Types - highrise: Architectural Style - modern,
United States,Chicago,Mid-Continental Plaza,../skyscraperpage.com/diagrams/images/66230.gif,http://skyscraperpage.com/cities/?buildingID=908,1969,1972,50,Building Uses - mixed use - garden - office - residential - fitness center: Structural Types - highrise: Architectural Style - international: Materials - glass - steel - granite - concrete,
United States,Chicago,Smurfit-Stone Building,../skyscraperpage.com/diagrams/images/55486.gif,http://skyscraperpage.com/cities/?buildingID=330,null,1984,41,Building Uses - office: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel - concrete: reinforced,
United States,Chicago,North Pier Apartments,../skyscraperpage.com/diagrams/images/28588.gif,http://skyscraperpage.com/cities/?buildingID=932,null,1990,61,Building Uses - residential: Structural Types - highrise,
United States,Chicago,Citadel Center,../skyscraperpage.com/diagrams/images/11421.gif,http://skyscraperpage.com/cities/?buildingID=8717,2000,2003,39,Building Uses - office: Structural Types - highrise: Architectural Style - modern: Materials - glass - steel - concrete,
United States,Chicago,The Fordham,../skyscraperpage.com/diagrams/images/33923.gif,http://skyscraperpage.com/cities/?buildingID=18340,2001,2003,52,Building Uses - residential: Structural Types - highrise,
United States,Chicago,190 South LaSalle,../skyscraperpage.com/diagrams/images/33760.gif,http://skyscraperpage.com/cities/?buildingID=3137,null,1987,40,Building Uses - office: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel - concrete,
United States,Chicago,One South Dearborn,../skyscraperpage.com/diagrams/images/45203.gif,http://skyscraperpage.com/cities/?buildingID=35954,2003,2005,39,Building Uses - office - parking garage - restaurant: Structural Types - highrise - atrium: Materials - glass,
United States,Chicago,Onterie Center,../skyscraperpage.com/diagrams/images/76926.gif,http://skyscraperpage.com/cities/?buildingID=930,null,1986,58,Building Uses - office: Structural Types - highrise - cross brace,
United States,Chicago,Chicago Temple Building,../skyscraperpage.com/diagrams/images/5853.gif,http://skyscraperpage.com/cities/?buildingID=5855,1922,1924,23,Building Uses - office - religious: Structural Types - highrise - church: Architectural Style - neo-gothic: Materials - masonry - steel,
United States,Chicago,CNA Center,../skyscraperpage.com/diagrams/images/83236.gif,http://skyscraperpage.com/cities/?buildingID=101347,2016,null,36,Building Uses - office - parking garage - retail: Structural Types - highrise: Architectural Style - modern,
United States,Chicago,Palmolive Building,../skyscraperpage.com/diagrams/images/4882.gif,http://skyscraperpage.com/cities/?buildingID=4884,1927,1929,37,Building Uses - residential: Structural Types - highrise: Architectural Style - art deco - streamline moderne: Materials - masonry,
United States,Chicago,Boeing World Headquarters,../skyscraperpage.com/diagrams/images/51903.gif,http://skyscraperpage.com/cities/?buildingID=5790,null,1990,36,Building Uses - office: Structural Types - highrise: Architectural Style - international - modern - postmodern - structural expressionism - futurism,
United States,Chicago,Huron Plaza,../skyscraperpage.com/diagrams/images/982.gif,http://skyscraperpage.com/cities/?buildingID=984,null,1983,56,Building Uses - residential: Structural Types - highrise: Architectural Style - international,
United States,Chicago,Pittsfield Building,../skyscraperpage.com/diagrams/images/18696.gif,http://skyscraperpage.com/cities/?buildingID=18339,1926,1927,38,Building Uses - office: Structural Types - highrise: Architectural Style - neo-gothic: Materials - masonry - copper,
United States,Chicago,The Parkshore,../skyscraperpage.com/diagrams/images/68699.gif,http://skyscraperpage.com/cities/?buildingID=4027,null,1991,56,Building Uses - residential: Structural Types - highrise,
United States,Chicago,Civic Opera Building,../skyscraperpage.com/diagrams/images/6261.gif,http://skyscraperpage.com/cities/?buildingID=6263,1927,1929,45,Building Uses - office - theatre: Structural Types - highrise: Architectural Style - art deco - streamline moderne: Materials - limestone,
United States,Chicago,30 North LaSalle,../skyscraperpage.com/diagrams/images/39441.gif,http://skyscraperpage.com/cities/?buildingID=3715,null,1975,44,Building Uses - office: Structural Types - highrise,
United States,Chicago,North Harbor Tower,../skyscraperpage.com/diagrams/images/68648.gif,http://skyscraperpage.com/cities/?buildingID=3211,null,1988,55,Building Uses - residential: Structural Types - highrise,
United States,Chicago,Illinois Center - Michigan Plaza South,../skyscraperpage.com/diagrams/images/33864.gif,http://skyscraperpage.com/cities/?buildingID=165,null,1985,46,Building Uses - office: Structural Types - highrise,
United States,Chicago,Streeter Place,../skyscraperpage.com/diagrams/images/48584.gif,http://skyscraperpage.com/cities/?buildingID=52602,null,2009,53,Building Uses - residential - parking garage - retail: Structural Types - highrise: Architectural Style - modern,
United States,Chicago,Newberry Plaza,../skyscraperpage.com/diagrams/images/68647.gif,http://skyscraperpage.com/cities/?buildingID=934,null,1974,53,Building Uses - residential: Structural Types - highrise,
